timestamp, p_x, p_y,p_z, q_x, q_y,q_z, q_w
DJI_0120.JPG,18.489330,-2.952504,-4.053935,-0.318799,-0.862506,0.367118,0.140271
DJI_0135.JPG,29.335833,-13.126453,-4.371738,-0.729578,-0.557505,0.235063,0.318825
DJI_0136.JPG,27.733628,-16.553303,-4.338291,-0.746847,-0.533384,0.227262,0.325689
DJI_0137.JPG,26.037848,-20.229784,-4.379234,-0.775119,-0.491350,0.210547,0.336803
DJI_0138.JPG,23.781085,-23.319281,-4.463236,-0.797283,-0.453807,0.195411,0.346719
DJI_0139.JPG,21.232103,-26.630559,-4.559232,-0.824531,-0.402171,0.173948,0.357980
DJI_0140.JPG,18.365046,-29.514755,-4.657825,-0.840699,-0.367063,0.158869,0.365036
DJI_0141.JPG,15.205783,-31.941038,-4.711127,-0.858705,-0.322265,0.139637,0.373194
DJI_0142.JPG,12.042957,-34.323056,-4.850906,-0.874706,-0.275732,0.119106,0.380362
DJI_0143.JPG,8.343895,-35.959781,-4.779037,-0.886985,-0.232872,0.099811,0.386090
DJI_0144.JPG,4.629521,-37.505224,-4.696565,-0.897475,-0.187836,0.079448,0.391080
DJI_0145.JPG,0.780110,-38.560602,-4.840068,-0.904938,-0.146894,0.061203,0.394669
DJI_0146.JPG,-3.269066,-38.962804,-4.956267,-0.911072,-0.101052,0.042022,0.397455
DJI_0147.JPG,-7.332803,-39.416783,-5.088714,-0.915313,-0.052171,0.021571,0.398766
DJI_0148.JPG,-11.417102,-39.223112,-5.156586,-0.917022,-0.008144,0.002955,0.398743
DJI_0149.JPG,-15.441031,-38.595906,-5.158257,-0.916764,0.034824,-0.015139,0.397620
DJI_0150.JPG,-19.334149,-37.936024,-5.098403,-0.915118,0.075838,-0.032743,0.394633
DJI_0151.JPG,-23.065763,-36.546737,-4.969254,-0.910749,0.120317,-0.052038,0.391601
DJI_0152.JPG,-26.781345,-35.029849,-4.806847,-0.903382,0.168739,-0.072435,0.387533
DJI_0153.JPG,-30.196692,-33.143001,-4.658078,-0.894756,0.210366,-0.090274,0.383416
DJI_0154.JPG,-33.315478,-30.743896,-4.491147,-0.882894,0.255801,-0.109604,0.378221
DJI_0155.JPG,-36.406582,-28.288053,-4.473992,-0.869069,0.300180,-0.128609,0.371579
DJI_0156.JPG,-38.906991,-25.151825,-4.503014,-0.853902,0.341305,-0.146096,0.364716
DJI_0157.JPG,-41.162304,-21.984661,-4.435089,-0.836569,0.382085,-0.163728,0.356870
DJI_0158.JPG,-43.396528,-18.553945,-4.310249,-0.817527,0.422003,-0.180392,0.347881
DJI_0159.JPG,-44.965395,-14.950509,-4.238284,-0.795418,0.462145,-0.197440,0.338748
DJI_0160.JPG,-46.577115,-11.364061,-4.235276,-0.773724,0.498029,-0.212240,0.329047
DJI_0161.JPG,-47.579488,-7.428674,-4.202512,-0.747945,0.536028,-0.228159,0.318112
DJI_0162.JPG,-47.976242,-3.655478,-4.191931,-0.716867,0.577003,-0.245247,0.304996
DJI_0163.JPG,-48.347586,0.247576,-4.185677,-0.689331,0.609950,-0.258748,0.292973
DJI_0164.JPG,-47.891174,4.277042,-4.107112,-0.659942,0.641957,-0.271842,0.280124
DJI_0165.JPG,-47.327532,8.313712,-3.979416,-0.625757,0.675584,-0.285549,0.265473
DJI_0166.JPG,-46.364397,12.261475,-4.006050,-0.592228,0.705048,-0.297999,0.251735
DJI_0167.JPG,-44.837545,15.941043,-3.956348,-0.556831,0.733274,-0.310018,0.236932
DJI_0168.JPG,-43.270654,19.659235,-3.918067,-0.518130,0.761111,-0.321666,0.220869
DJI_0169.JPG,-40.995606,23.030540,-3.767546,-0.479990,0.785564,-0.332410,0.204944
DJI_0170.JPG,-38.560477,26.174761,-3.693103,-0.438713,0.809230,-0.342694,0.187720
DJI_0171.JPG,-36.010013,29.217409,-3.708289,-0.396672,0.830593,-0.351734,0.170437
DJI_0172.JPG,-32.875939,31.656591,-3.616990,-0.352126,0.850153,-0.360822,0.151836
DJI_0173.JPG,-29.682228,34.128594,-3.595194,-0.310573,0.865980,-0.368094,0.134651
DJI_0174.JPG,-26.228413,36.092183,-3.594679,-0.264970,0.880872,-0.374897,0.115356
DJI_0175.JPG,-22.499804,37.635317,-3.605688,-0.219900,0.892976,-0.380768,0.096193
DJI_0176.JPG,-18.782778,39.055824,-3.586085,-0.173204,0.903005,-0.385674,0.076400
DJI_0177.JPG,-14.792745,39.703642,-3.577918,-0.126285,0.910587,-0.389479,0.056475
DJI_0178.JPG,-10.856763,40.232796,-3.532197,-0.079205,0.915716,-0.392268,0.036280
DJI_0179.JPG,-6.819224,40.452948,-3.524282,-0.028061,0.918696,-0.393697,0.014566
DJI_0180.JPG,-2.734258,39.924816,-3.510525,-0.018732,-0.918804,0.394230,0.005608
DJI_0181.JPG,1.260466,39.427187,-3.600878,-0.065336,-0.916577,0.393651,0.025622
